site_id,code,cover,obs_id
54,PSME,80,705
54,ARME,0,706
54,QUCH,30,707
54,TODI,20,708
54,QUKE,1,709
54,CEOC,1,710
55,ADBI,5,406
55,OSBE,3,407
55,TOAR,10,408
55,LOHI,3,409
55,ANMAD,1,410
55,GATR,0.5,411
55,CAOC,0.5,412
55,CASC,0.5,413
55,ELGL,1,414
55,POIM,1,415
55,IRTE,1,416
55,TRLA,0.5,417
55,VIAM,0.5,418
55,FEOC,0.5,419
55,COHE,0.5,420
55,DRAR,0.5,421
55,STME,1,422
55,RULE,1,423
55,PRHO,1,424
55,NEPA,2,425
55,FECA,1,426
55,CYEC,0.5,427
55,APAN,0.5,428
55,HIAL,1,429
56,DAPU,3,385
56,SI,0.5,386
56,AICA,3,387
56,MAGR,1,388
56,CESO,1,389
56,TOAR,1,390
56,LOXX,1,391
56,CLPU,1,392
56,CAOC,0.5,393
56,ELGL,0.5,394
56,HYPE,0.5,395
56,SACR,0.5,396
56,GATR,0.5,397
56,CLRH,0.5,398
56,DIID,0.5,399
56,AGGR,0.5,400
56,MECA,1,401
56,ACMI,0.5,402
56,CYGR,0.5,403
56,CEBE,1,404
56,GAPA,0.5,405
57,CYEC,20,489
57,AGGR,0.5,490
57,ANMAD,4,491
57,MCA,4,492
57,HIAL,1,493
57,ARVI,0.5,494
57,FECA,1,495
57,POIM,1,496
57,OSBE,0.5,497
57,ARDI,0.5,498
57,LOHI,0.5,499
57,TOAR,1,500
57,SYMO,0.5,501
57,GABO,0.5,502
58,TRLA,2,473
58,TOAR,1,474
58,OSBE,2,475
58,VIAM,3,476
58,POIM,1,477
58,MECA,3,478
58,LOHI,3,479
58,MANE,5,480
58,RIRO,1,481
58,CASC,0.5,482
58,DAGL,0.5,483
58,RULE,1,484
58,PRHO,2,485
58,MAGR,1,486
58,GABO,0.5,487
58,FEMI,0.5,488
59,PRHO,0.5,361
59,LOHI,0.5,362
59,ARDI,0.5,363
59,ACTR,0.5,364
59,PTAQ,0.5,365
59,PYAP,0.5,366
59,SYMO,0.5,367
59,POIM,2,368
59,PLEL,0.5,369
59,CHUM,0.5,370
59,FEOC,0.5,371
59,RULE,1,372
59,GATR,0.5,373
59,RUPA,1,374
59,TRLA,0.5,375
60,POCO,0.5,348
60,LOHI,1,349
60,CAMU,0.5,350
60,FEOC,0.5,351
60,TOAR,0.5,352
60,COHE,0.5,353
60,MAGR,0.5,354
60,HIAL,0.5,355
60,FECA,0.5,356
60,IRTE,0.5,357
60,AICA,0.5,358
60,CYEC,0.5,359
60,ERLA,0.5,360
,,,736
,,,737
,,,738
,,,739
,,,740
,,,741
,,,742
,,,743
,,,744
,,,745
,,,746
,,,747
,,,748
,,,749
,,,750
,,,751
,,,752
,,,753
,,,754
,,,755
,,,756
,,,757
,,,758
,,,759
,,,760
,,,761
,,,762
,,,763
,,,764
,,,765
,,,766
,,,767
,,,768
,,,769
,,,770
,,,771
,,,772
,,,773
,,,774
,,,775
,,,776
,,,777
,,,778
,,,779
,,,780
,,,781
,,,782
,,,783
,,,784
,,,785
,,,786
,,,787
,,,788
,,,789
,,,790
,,,791
,,,792
,,,793
,,,794
,,,795
,,,796
,,,797
,,,798
,,,799
,,,800
,,,801
,,,802
,,,803
,,,804
,,,805
,,,806
,,,807
,,,808
,,,809
,,,810
,,,811
,,,812
,,,813
,,,814
,,,815
,,,816
,,,817
,,,818
,,,819
,,,820
,,,821
,,,822
,,,823
,,,824
,,,825
,,,826
,,,827
,,,828
,,,829
,,,830
,,,831
,,,832
,,,833
,,,834
,,,835
,,,836
,,,837
,,,838
,,,839
,,,840
,,,841
,,,842
,,,843
,,,844
,,,845
,,,846
,,,847
,,,848
,,,849
,,,850
,,,851
,,,852
,,,853
,,,854
,,,855
,,,856
,,,857
,,,858
,,,859
,,,860
,,,861
,,,862
,,,863
,,,864
,,,865
,,,866
,,,867
,,,868
,,,869
,,,870
,,,871
,,,872
,,,873
,,,874
,,,875
,,,876
,,,877
,,,878
,,,879
,,,880
,,,881
,,,882
,,,883
,,,884
,,,885
,,,886
,,,887
,,,888
,,,889
,,,890
,,,891
,,,892
,,,893
,,,894
,,,895
,,,896
,,,897
,,,898
,,,899
,,,900
,,,901
,,,902
,,,903
,,,904
,,,905
,,,906
,,,907
,,,908
,,,909
,,,910
,,,911
,,,912
,,,913
,,,914
,,,915
,,,916
,,,917
,,,918
,,,919
,,,920
,,,921
,,,922
,,,923
,,,924
,,,925
,,,926
,,,927
,,,928
,,,929
,,,930
,,,931
,,,932
,,,933
,,,934
,,,935
,,,936
,,,937
,,,938
,,,939
,,,940
,,,941
,,,942
,,,943
,,,944
,,,945
,,,946
,,,947
,,,948
,,,949
,,,950
,,,951
,,,952
,,,953
,,,954
,,,955
,,,956
,,,957
,,,958
,,,959
,,,960
,,,961
,,,962
,,,963
,,,964
,,,965
,,,966
,,,967
,,,968
,,,969
,,,970
,,,971
,,,972
,,,973
,,,974
,,,975
,,,976
,,,977
,,,978
,,,979
,,,980
,,,981
,,,982
,,,983
,,,984
,,,985
,,,986
,,,987
,,,988
,,,989
,,,990
,,,991
,,,992
,,,993
,,,994
,,,995
,,,996
,,,997
,,,998
,,,999
,,,1000
,,,1001
,,,1002
,,,1003
,,,1004
,,,1005
,,,1006
,,,1007
,,,1008
,,,1009
,,,1010
,,,1011
,,,1012
,,,1013
,,,1014
,,,1015
,,,1016
,,,1017
,,,1018
,,,1019
,,,1020
,,,1021
,,,1022
,,,1023
,,,1024
,,,1025
,,,1026
,,,1027
,,,1028
,,,1029
,,,1030
,,,1031
,,,1032
