sum.taxonomy	EB01	EB02	EB03	EB04	EB05	EB06	EB07	EB08	EB09	EB10	EB11	EB12	EB13	EB14	EB15	EB16	EB17	EB18
Prokaryota;Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;NA;bacterium Ellin6099;	0	72	752	154	322	138	270	377	336	17	0	11	0	3	1	0	6	2
Prokaryota;Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;NA;bacterium Ellin6100;	0	43	89	26	32	72	109	72	113	2	0	0	0	0	0	0	1	0
Prokaryota;Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;NA;bacterium Ellin6115;	0	0	0	0	0	1	0	0	0	6	3	0	0	2	1	2	3	2
Prokaryota;Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Terriglobus;;	0	2	0	0	0	1	1	0	0	0	3	1	0	0	0	1	0	0
Prokaryota;Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Terriglobus;Terriglobus roseus;	0	35	63	8	15	0	0	10	25	0	0	0	0	0	0	1	0	0
Prokaryota;Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Terriglobus;Terriglobus sp. L56;	6	31	437	125	195	43	642	99	40	8	1	18	0	0	5	1	3	0
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;;Aridibacter;;	2	221	385	125	241	165	213	286	355	19	16	0	20	12	5	64	5	37
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;;NA;;	74	2	22	14	10	18	51	59	49	406	696	70	56	187	159	367	196	71
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;NA;Blastocatella;Blastocatella fastidiosa;	1	22	187	35	73	91	151	131	157	29	11	17	9	8	3	12	11	17
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;Pyrinomonadaceae;Arenimicrobium;Arenimicrobium luteum;	6	8	58	2	4	0	0	5	41	303	256	6	38	91	13	60	19	10
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;Pyrinomonadaceae;Brevitalea;;	0	0	0	0	0	0	0	0	0	25	24	0	1	23	14	10	55	7
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;Pyrinomonadaceae;Brevitalea;Brevitalea aridisoli;	0	0	13	2	0	0	8	5	1	0	0	0	0	0	0	0	0	0
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;Pyrinomonadaceae;Brevitalea;Brevitalea deliciosa;	0	24	226	50	78	60	83	123	205	31	242	3	0	9	0	3	9	3
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;Pyrinomonadaceae;NA;;	16	45	69	32	123	28	183	116	76	183	578	23	20	62	17	93	42	19
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;;Stenotrophobacter;;	2	0	0	0	0	0	0	0	8	0	0	0	0	0	1	0	0	0
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;;Stenotrophobacter;Stenotrophobacter terrae;	16	0	94	0	3	0	0	0	5	74	38	20	23	35	23	42	46	316
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;;Tellurimicrobium;Tellurimicrobium multivorans;	1	0	0	0	0	3	0	1	0	0	0	1	0	0	0	0	0	0
Prokaryota;Bacteria;Acidobacteria;Holophagae;Holophagales;Holophagaceae;Holophaga;;	11	0	0	0	0	5	0	0	0	121	4	5	1	18	5	22	12	1
Prokaryota;Bacteria;Acidobacteria;Holophagae;Holophagales;Holophagaceae;Holophaga;Holophaga sp. oral clone CA002;	0	0	0	1	4	2	2	0	0	11	8	0	0	0	0	1	0	0
Prokaryota;Bacteria;Acidobacteria;Holophagae;Holophagales;Holophagaceae;Holophaga;Holophaga sp. WY42;	1	0	13	0	2	0	6	3	1	32	8	0	83	12	3	70	16	39
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;;NA;;	0	0	0	0	0	1	3	0	0	0	0	0	0	0	4	1	0	0
NA;NA;NA;NA;;NA;;;	92	0	0	0	0	50	14	0	0	524	154	46	50	330	139	282	256	968
Prokaryota;Bacteria;Acidobacteria;NA;;NA;Luteitalea;Luteitalea pratensis;	102	0	0	0	0	16	17	3	0	936	336	75	198	450	185	265	156	189
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;NA;Luteitalea;Luteitalea pratensis;	0	0	0	0	0	3	0	2	1	0	0	0	0	5	0	0	0	0
Prokaryota;Bacteria;Acidobacteria;Solibacteres;Solibacterales;Bryobacteraceae;NA;;	0	8	17	11	34	97	100	39	17	3	1	1	4	5	2	2	2	1
Prokaryota;Bacteria;Acidobacteria;Solibacteres;Solibacterales;NA;;;	2	0	0	3	5	2	8	6	0	4	1	0	0	0	0	0	2	0
Prokaryota;Bacteria;Acidobacteria;Solibacteres;Solibacterales;Solibacteraceae;Candidatus Solibacter;Candidatus Solibacter usitatus;	0	0	0	1	1	8	2	0	0	4	0	0	0	0	0	2	0	0
Prokaryota;Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Acidimicrobium;Acidimicrobium ferrooxidans;	0	0	0	0	8	0	1	1	0	0	0	0	1	0	0	0	0	0
Prokaryota;Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Aciditerrimonas;Aciditerrimonas ferrireducens;	0	0	0	3	4	32	17	2	0	0	0	0	0	0	0	0	0	0
Prokaryota;Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Ilumatobacter;Ilumatobacter fluminis;	0	0	1	0	27	2	4	7	1	2	0	0	0	2	0	0	0	1
Prokaryota;Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Iamiaceae;Aquihabitans;Aquihabitans daechungensis;	0	0	0	1	2	6	3	1	0	2	0	1	4	4	0	1	2	4
Prokaryota;Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Iamiaceae;Iamia;;	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0
Prokaryota;Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Iamiaceae;Iamia;Iamia majanohamensis;	4	0	0	0	2	0	0	0	0	4	2	3	1	0	1	2	1	2
Prokaryota;Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;NA;NA;Acidimicrobiales bacterium URHD0090;	1	0	0	0	0	0	0	0	0	3	0	1	6	1	0	2	0	0
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;;NA;;	1	0	0	0	0	0	0	1	0	8	1	1	4	3	0	0	1	1
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;NA;NA;Acidimicrobidae bacterium Ellin7143;	5	0	0	11	1	4	31	4	0	32	7	7	0	13	9	4	3	2
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;NA;NA;bacterium TH3;	0	0	0	0	1	0	1	1	0	1	0	0	1	0	0	0	2	1
